"year","group","NEP_Mg_ha","cumNEP_Mg_ha","total_C_Mg_ha","live_C_Mg_ha","deadWoody_C_Mg_ha","litter_C_Mg_ha","soil_C_Mg_ha","killedVolume_beetles","killedVolume_wind","killedVolume_total","ba_m2_ha_abal","ba_m2_ha_acpl","ba_m2_ha_acps","ba_m2_ha_algl","ba_m2_ha_alin","ba_m2_ha_alvi","ba_m2_ha_bepe","ba_m2_ha_cabe","ba_m2_ha_coav","ba_m2_ha_fasy","ba_m2_ha_frex","ba_m2_ha_lade","ba_m2_ha_piab","ba_m2_ha_pice","ba_m2_ha_pimu","ba_m2_ha_pisy","ba_m2_ha_poni","ba_m2_ha_potr","ba_m2_ha_qupe","ba_m2_ha_quro","ba_m2_ha_saca","ba_m2_ha_soar","ba_m2_ha_soau","ba_m2_ha_tico","ba_m2_ha_tipl","ba_m2_ha_ulgl"
1,"macroclimate",-0.196292788007206,-0.196292788007206,274.654060106418,107.52065237759,18.1005471552596,15.9735469693545,133.059313604214,474.51081163567,8375.16344221344,8849.67425384911,0.294503091764636,0.000474058117637873,0.0209608838332957,0.00101214545169053,0.00151452744408101,5.29903524570717e-05,0.00420154411052655,0,0,2.73150007763645,0.0552892736169746,4.47894409108035,18.4005773146539,0.815905032047502,0,0.00917303781222839,0.00211852919479867,1.10401246926335e-07,0,0.000272663003492616,0.000102576575509216,0.00353861832544676,0.00891117163658056,0.00188444161576181,0,0.00396816249606165
1,"microclimate",0.0942076500181366,0.0942076500181366,274.944643914873,107.516375517411,18.2382893214171,16.115975021584,133.07400405446,240.094220184886,8502.19238430052,8742.28660448541,0.294438792967734,0.000482881705357181,0.0207801917421925,0.00101362852179894,0.00150855878511196,5.28945792373587e-05,0.00420069790489729,0,0,2.73176994635749,0.0552087269157497,4.4780941932714,18.4007476445479,0.815709173385711,0,0.00914838445952457,0.00210904305627271,1.18467751078134e-07,0,0.000271119658048167,0.000102469775158219,0.00353960617587288,0.00890424062609237,0.00187823888421591,0,0.00397263112073401
2,"macroclimate",-0.245043345723673,-0.441336133730879,274.432926239179,107.864338090568,18.0925605813646,15.5960519125956,132.87997565465,1954.73722908064,10915.8685693372,12870.6057984179,0.294919988738042,0.000461576353280914,0.0202296753197871,0.000985931687515831,0.00151816129936176,5.8924390601957e-05,0.00461215871848226,0,0,2.7463992214159,0.0555335671734306,4.40074248855454,18.4855617333346,0.813549513931837,0,0.00891797002729113,0.0020940790807337,1.20133069564645e-07,0,0.000273969067822485,0.000100008173446376,0.00360418633220916,0.00886187352039208,0.00181745065173131,0,0.00388033003955057
2,"microclimate",-0.0164177195182428,0.0777899304998943,274.951811143338,107.889791129808,18.2945236734743,15.8469436992438,132.920552640812,944.509152434561,11025.7737072671,11970.2828597016,0.294815380552451,0.000469110583097646,0.0199814962188516,0.00098991669132069,0.0015109704929144,5.91332719371041e-05,0.00460635760288816,0,0,2.74673542202254,0.0555076018623564,4.39998251026149,18.4936076253468,0.813235966356164,0,0.0088867691247384,0.00210060650987415,1.14835518663343e-07,0,0.000270643063774256,9.98234694137498e-05,0.00359867497758179,0.00884288819736684,0.00182247806960941,0,0.00390491124814742
3,"macroclimate",-0.0768203313799546,-0.518156465110833,274.380905983872,107.808005352084,18.5420090789998,15.3225326408937,132.708358911895,4563.63163107166,23570.0960615293,28133.7276926009,0.29431103102428,0.00045384731034352,0.0217985820960215,0.000949026292285137,0.00148826169932306,6.57126371727216e-05,0.00509706636846797,0,0,2.75554807474726,0.0554248796528639,4.31831816500139,18.4924079201602,0.810043792776916,0,0.00853534315985438,0.00206867011445181,1.97279410976586e-07,0,0.000271826927185204,9.75202667159967e-05,0.00362349969429742,0.00863765888093446,0.0017635511186703,0,0.00376341021813067
3,"microclimate",0.125165010221895,0.202954940721789,275.102700794572,107.889659655764,18.7703244307989,15.6597789306411,132.782937777369,2019.81331996971,23977.1412528071,25996.9545727768,0.294021218376314,0.000456229706971599,0.0215733939400502,0.000957680826200513,0.00147379594003112,6.55069970359369e-05,0.00507858826390047,0,0,2.75563792363441,0.0553517760939544,4.31670922863023,18.5160212897897,0.809580925265323,0,0.00849738836180227,0.00207462273308659,1.85220240850196e-07,0,0.000271918384130618,9.80041062686487e-05,0.00361596452111638,0.00862491784721506,0.00177134358561257,0,0.00379373725633433
4,"macroclimate",-0.131428152737109,-0.649584617847944,274.271720192937,108.196760576401,18.5881299447356,14.9513237666789,132.535505905121,10253.6482860225,27404.0761096582,37657.7243956807,0.295049803589917,0.000446894005565167,0.0242220594714623,0.000920099076234453,0.00147752372741888,7.00431341451446e-05,0.00568267491515249,0,0,2.77233804772779,0.0560119068116409,4.27287698445328,18.5508462436129,0.808044751567712,0,0.00820510218134397,0.00204997303003542,6.73529027939986e-07,0,0.000271087635660962,9.72802443926514e-05,0.00373296561808456,0.00872035211946619,0.00175478724649352,0,0.00373118535781014
4,"microclimate",0.103149957964729,0.306104898686518,275.229025419743,108.418864390158,18.7821467297789,15.3747114264045,132.653302873402,4610.30831748399,27852.7809144851,32463.0892319691,0.294510718741406,0.000444407672392304,0.0239804732138324,0.000930363584684855,0.0014597796658166,6.94916359948191e-05,0.0056586286979497,0,0,2.7727949162788,0.0558941411566232,4.27115939810309,18.6098793156467,0.807482609987059,0,0.00816949300859209,0.00206132130554809,6.26490867852873e-07,0,0.000273921562050662,9.71852108943986e-05,0.00372091768562455,0.00869732569073546,0.00174665602938955,0,0.00375937947568776
5,"macroclimate",0.148179242980509,-0.501405374867432,274.442024966207,108.430115116893,18.8886755072686,14.7659241372636,132.357310204782,17567.4169805367,32256.9672015179,49824.3841820546,0.295112159177216,0.000440306390681256,0.026711349767275,0.000879132452831162,0.00144798145645374,7.18105613330968e-05,0.00631647666950975,0,0,2.78481689436535,0.0561916399712991,4.23629722399898,18.5642709896804,0.806093992654805,0,0.00789170787920787,0.00202353962164986,7.62923445137213e-07,6.33490560585473e-08,0.000269323923940739,9.61757649415667e-05,0.00380753179809392,0.00866578896586565,0.00171136654963803,0,0.0036683286245036
5,"microclimate",0.343086612998734,0.649191511685252,275.594554549782,108.814884673254,19.0102974778653,15.2482870509202,132.521085347743,7826.15762953731,32949.2933720522,40775.4510015895,0.294499679359977,0.00043508388208742,0.0264332925138636,0.000879865645992282,0.00142382597680302,7.08606718622252e-05,0.00629813626436883,0,0,2.78533249242008,0.0560761782882276,4.23339409823503,18.6658426999191,0.805521626501626,0,0.00783804744429568,0.00205530839296875,7.70257247668179e-07,2.03755380949044e-08,0.00027433573925561,9.53843436965678e-05,0.00379248591654371,0.00863187363704158,0.00169285223701444,0,0.00369964752967924
